business,content
1,"Chaoyang district in eastern Beijing, where almost all the embassies are located, is taking measures to strengthen communications with embassies and international organizations to promote the further opening-up of its service sector, according to officials. Chaoyang district hosted a promotional event at Beijing’s iconic Olympic Tower to introduce its continuously optimized business environment, industrial development potential and upgrade plans to representatives from 15 embassies, including the British Embassy Beijing and the Embassy of Japan in China, five international organizations and some companies on Wednesday. Wang Hao, Party chief of Chaoyang district, shared the district’s internationalization plan with all participants. “We are working on a three-year action plan and will put in place some supportive policies to promote internationalization in regions such as Sanlitun, Wangjing, Maizidian and the area around the embassies,” Wang said. Wang Xining, a member of the standing committee of the CPC Beijing, said Chaoyang district will adopt a new industrial development mode, ease market access, and carry out pilot projects in fields such as finance, science and technology, business and cultural creation to support its service sector development in upcoming years. Chen Qinghua, director of Chaoyang district’s commission of commerce, said the initiative will help attract more foreign companies to Chaoyang district and establish a service platform for businesses in the district to seek opportunities in foreign markets. The events also will promote mutual understanding between Chaoyang district and other parts of the world. “I am glad to hear Chaoyang district is fostering one of the best service sectors and planning to do more in the future. The UK has world-class expertise in a number of areas including law, accounting, financial services, advertising, architecture and insurance,” said Nicola Lu, head of Capital Investment at the British Embassy in Beijing. Lu said that the UK is looking forward to having more communication and collaboration with China’s industry. Dong Bin, chairman of the Sino-European Entrepreneurs Summit Committee, said that Chaoyang district will play a more significant role in supporting regional development. “As I have been working and living in Chaoyang for more than 20 years, my own observation about this area is that it is more open, inclusive, safe, international, energetic and is an inspiration,” Dong said. Robert Sterling Quant, ambassador from the Bahamas to China, also shared areas where China and Bahamas can collaborate in upcoming years. Chaoyang district has been committed to developing a long-term effective communications mechanism to strengthen ties with embassies and international organizations. The event on Wednesday marked the debut of the mechanism. Officials also said that more similar events will be organized this year. For instance, Chaoyang district will organize two communications events this year, which will target G20 member countries and countries taking part in the Belt and Road Initiative. It also will host matchmaking events to better connect Chinese companies with businesses from countries such as the UK, US and Australia. The district also will leverage its iconic landmarks – such as the Prince Shun Cheng Mansion and the Bird’ Nest stadium – to promote international exchanges, according to officials. Consultancy service provider PwC said in a report released on Nov 6 that Chaoyang district is home to nearly 10,000 foreign companies and to date had attracted more than $60 billion in foreign investment to the region. The report said that Chaoyang district has 122 regional headquarters established by multinational companies, accounting for 70 percent of Beijing’s total. The region also is home to 71 Global Fortune 500-listed companies. There were 327 foreign financial firms in the region in 2018."
1,"Subway trains designed to run on Beijing's new airport subway line, which links the Beijing Daxing International Airport and Caoqiao subway station in downtown Beijing, made its debut on Tuesday. The trains are capable of fully automated driverless operation, and with a designed speed of 160 kilometers per hour, they are the fastest subway trains in China. The 40-km journey from Caoqiao station to the capital's new airport will only take 19 minutes. Currently, the travel speed of most subway trains is 80 km/h.,The trains each have a business class carriage, a first in the country. The eight-carriage train, which is about 22.8 meters long and 3.3 meters wide, will be able to carry a maximum of 1,500 passengers. There are wheelchair spaces and USB charging ports by the passenger seats on the train. The new subway trains are expected to start trial operation in September, when the Beijing Daxing International Airport is due to open."
0,"A host of shared self-service mini-gymnasiums, each covering about 5 square meters, have sprung up in China's major cities, including Beijing. Each features a mini exercise booth－which resembles a phone kiosk－a treadmill, air conditioner and purifier, and a high-definition screen to play games, listen to music or watch TV dramas. With the basic fitness equipment needed to work out in a regular gymnasium, these mini premises can be booked and sessions paid for through smartphone apps. In June last year, Beijing fitness startup Misspao rolled out shared mini-gyms in communities in nine cities nationwide. They were: Shenzhen, Guangdong province; Nanjing, Jiangsu province; Hangzhou, Zhejiang province; Qingdao, Shandong province, Xi'an, Shaanxi province; Chengdu, Sichuan province; and Beijing, Shanghai and Tianjin. After paying a deposit, users can book the nearest gym and scan the access code with their smartphones. For about 6 yuan ($0.9) for half an hour, they can also rent mini-gyms in nearby neighborhoods for exercise and bodybuilding. Bi Zhen, CEO of Misspao, cited a recent survey conducted by the company that found that about 95 percent of respondents said they needed exercise, but only 10 percent had gym membership. ""Under a heavy workload, many people lack the time to work out frequently. And that's exactly what we can offer. Even busy white-collar workers can enjoy the convenience brought by these mini fitness booths in nearby residential communities,"" Bi said. The company said each one costs from 15,000 to 20,000 yuan. Based on the average total usage time of six hours a day, they can yield high rates of return and break even in eight to 10 months. Bi aims to build a smart sports community that allows people to choose mini-gyms that are about five minutes' walk away, instead of heading to distant fitness centers. The mini-gyms are equipped with aerobic machines, such as exercise bikes. Misspao will also roll out a wide range of training classes to target users' specific needs for fitness and bodybuilding. Zhu Xiaoxiao, CEO of the app FitTime, said, ""It's really a huge market. Driven by the desire for smaller waistlines and healthier lifestyles, more people, especially the health-conscious younger generation, are willing to spend time and money on fitness and slimming services."" Statistics from the China Internet Network Information Center show that of the 802 million netizens in China, 98.3 percent are mobile phone users, which provides a huge base for the blossoming online sports and fitness industry. Government policy is also fueling the smart sports sector. According to a national fitness plan, spending on sports and fitness is expected to reach 1.5 trillion yuan in 2020."
0,"The rapid expansion of China's road, rail and air networks has solved most of the traditional problems associated with travel during Spring Festival, such as the fierce competition for tickets and traffic gridlock. Now, the country's transportation authorities are focusing on passenger comfort and convenience. An estimated 2.98 billion journeys are expected to be made during this year's 40 day Spring Festival travel rush, which runs from Feb 1 to March 12, according to the National Development and Reform Commission. The prefestival peak has already approached. According to China Railway Corp, since Feb 1, the national railways handled 89 million trips by Saturday. Leading the way are airports and train stations in major cities, where advanced technology and upgraded facilities have helped remove some of the stress from traveling home or abroad for Lunar New Year, which this year falls on Feb 16. Shen Peilan has had a habit of missing trains and flights in the past, so she would regularly leave her home in Wangjing, northeast Beijing, three hours before her departure time to make sure she made it to her seat in time. On Tuesday, however, when she plans to catch a flight home to Shanghai for the holidays, she will leave just 90 minutes before. ""It'll be a bit of a rush, but the fast lane at Beijing Capital International Airport and the'QR code boarding pass' will save me lots of time,"" the 32-year-old interpreter said. Beijing Capital International Airport, the country's busiest, has opened an express lane for passengers traveling to Shanghai, while those who check-in online will be able to simply present a QR code to pass security checks and the boarding gate. ""I've done online check-in before using the QR code and I haven't missed any flights,"" Shen said. ""It's very fast, and there's no waiting in lines. It cuts out some of the boredom."" Air China, the nation's flagship carrier, opened eight self check-in baggage desks at Beijing Capital International Airport last month to improve efficiency. They allow passengers on selected services to check their own luggage by putting it on a conveyor belt with no need to line up. The airline also granted travelers on certain air routes at 22 airports worldwide the right to use QR codes on board instead of printed boarding passes. Around 65 million of those journeys will be completed by air, a 10 percent year-on-year growth. Good news for those who like to choose their entertainment or chat with faraway friends mid-flight is that the Civil Aviation Authority of China announced in January that passengers are now allowed to use mobile devices on airplanes. Several carriers, including Hainan Airlines and China-Southern Airlines, have said they will be lifting the ban on smartphones. On the ground, airports are also adding features to make journeys more enjoyable, particularly for parents. Beijing Capital International Airport has set up mother-and-infant rooms equipped with sinks, singlehand operation tables and breastfeeding chairs. Each terminal also has themed play areas to help parents keep their children entertained. Train stations will as usual see a lot more traffic than airports this Spring Festival. The NDRC estimates more than 390 million journeys will be made by rail, up by 8.8 percent compared with the same period last year. China Railway Corp, the national rail operator, launched several measures to improve services and benefit travelers. For example, the official 12306.cn ticket booking system increased the daily sales capability to 15 million tickets from 10 million tickets this year. Catering services have also been upgraded. As well as purchasing food on the train, passengers have been able to order food from station restaurants to be delivered to their seat as soon as the train pulls into the station since mid 2017. However, now the minimum order time has been halved to just one hour before delivery, while the meal options have been increased. Waiting passengers also enjoy better services at train stations. Zhang Chengbin, a construction worker in Guangzhou, has returned to Chongqing every year in the past 10 spring festivals. Each year, he boarded a train at the Guangzhou South Station during the travel rush and has witnessed the change of the station. ""The station's environment becomes better and the service improves, such as the new nursing room and playground,"" he said, while watching his two grandchildren playing at the station's amusement playground, which had a slide and rocking horses. ""Without the nursing room and playground, it was difficult to manage two children,"" he said."
1,"China Daily and SASAC News Center recently interviewed an honored guest from the Embassy of Mexico, Felipe Garcia, commercial counselor of the ProMéxico Beijing Office. He spoke highly of China's achievements in the 40 years of reform and opening-up, especially in poverty alleviation, urbanization and modernization and said Mexico needs to learn from China's practices and experience. The counselor regards the Belt and Road Initiative as the ""one of the most important initiatives in China"" and said ""it can be global, regional and national impact on international cooperation."" Mexico has been ""watching with the great interest this initiative."" Garcia said Mexico is becoming a hub for international trade with its broad net of free trade agreements and presents a good opportunity that Chinese companies should grasp to expand their markets in the Americas. Mexico's industries such as agriculture, auto parts, automobiles, advanced manufacturing, renewable energy, infrastructure, and mining welcome Chinese investment."
0,"On February 11th, just several days before the commercialized Saint Valentine's Day, I celebrated my first birthday in Beijing. I have always had in mind a plan that when I will turn 30 (that was last year), I will take a train from Moscow to Beijing, through the trans-Mongolian railway, which will stop me in the heart of Asia, Beijing. An adventurous and long trip, but I like treating myself with these kinds of challenges.   But this year, I found myself in Beijing celebrating the starting of the Dragon's Year; eating dumplings, going to temple fair festivals, enjoying the fireworks, watching the red-and-golden lanterns, enjoying Chinese food and going out with my new friends. It is true, I did not have to take the long distance train ride from Moscow to Beijing through the trans-Mongolian railway, but I made it to the Chinese capital. I work in a very versatile environment: China Radio International (CRI), which like companies I used to work before, such as BBC World Service Radio, I like to call it as a mini-United Nations. There are people from around the World, working in different language departments; bringing with them in one place bits of their languages and cultures from their own countries. As in contrast to the BBC World Service Radio, where English is the language you communicate and work with, at the CRI you find a different experience. People working in different language services, are not only natives from the countries of the World, in which the language is spoken, but there are also Chinese, who have learned respective languages, which they now use in their daily working schedule.  It takes you sometime to get used with the fact that you are in the heart of Asia, and yet you have people speaking your language. I have to be frank, my mother tongue, is not a simple language. Foreigners, who want to learn it, find it very difficult, since it has no connection with any branches of the languages’ tree. But my Chinese colleagues dedicated themselves and decided to study Albanian, and after four years studies at the University and visits to Albania, they now are fluent and professional translators from Chinese to Albanian and vice-versa.  I came to Beijing by the end of December and started working on the first day of January. It is usual for a person moving out of his/her hometown and settling down in a new one to have the curiosity of what is going to expect him/her. Even though, I have been living in the past in different European cities and the United States, before coming to China, I have to admit, I did not know what was expecting me. Of course, you search on the Internet, just to get an idea, but as people are different and they share different experiences and have different expectations, it is hard to kind of create a clear picture about the city you are about to have it as your new home. So, I decided to implement the well-know expression and advice old people back home give to the youngsters we use back home. I love big cities, so Beijing fulfills that condition. Even though I live in the Western part of Beijing, far from downtown, I find the public transport well organized and easy to get to different places. Especially the subway system, which I find it very convenient and helpful with the English-speaking lady telling you, in which stop you are arriving, or with the signs at the exits, also written in English.  I find Chinese people friendly. When I have asked for directions for a certain place, or asking for service I want to get, bearing in mind that my Chinese language skills are too limited, I was helped out. It is highly appreciated.  Beijing, as every metropolis in the World, has a lot to offer: Starting from cultural activities; exhibitions, concerts, movies, sightseeing, variety of food and even lessons on how to cook delicious Chinese traditional dishes. I love Chinese food, and I am well known among my friends back home for going too often to the local Chinese restaurant. And in addition to that: Where else can you get the best Chinese food, if not in China? ?  So, my 31st birthday found me in Beijing. As a birthday boy, I was surprised by my colleagues with a tasty fruity cake and a paper-made crown, making me the ""king"" of that day. Being far away from home, family and friends, the wishes in my mother tongue ""G?zuar dit?lindjen"" (Happy Birthday) here in Beijing reminded me another expression: ""Your home is where your heart is""."
1,"High-tech innovations have been a highlight of the 2018 National Mass Innovation and Entrepreneurship Week in different parts of China and overseas. The main venue of this year's weeklong event, from Oct 9 to 15, is Chengdu, Southwest China's Sichuan province, marking the first time for a western Chinese city to host the event. The Beijing venue will hold a series of events such as a high-quality development forum, innovation and entrepreneurship contests, a regional collaborative innovation development symposium, and launching and signing ceremonies for key projects. In addition to showcasing cutting-edge innovations in different cities around the country, the event also takes place overseas, with over 100 activities happening in different countries. The inaugural National Mass Innovation and Entrepreneurship Week kicked off in 2015, after Chinese Premier Li Keqiang proposed themass entrepreneurship and innovation campaign at Summer Davos in September 2014."
1,"China will lift foreign ownership restrictions in the life insurance sector in three years and raise foreign ownership limits to 51 percent in joint-venture life insurance firms by the end of June, a top regulatory official said. Speaking at a panel discussion during the Boao Forum for Asia on Wednesday, Yi Gang, the governor of the People's Bank of China, the central bank, said the new measures will form part of the broader package of policies that will further open up the country's financial sector. Industry insiders said the new measures will instill market vitality and create new development opportunities. By June 30 this year, most of the measures will be in place, Yi said, the first time that China has provided a clear timeline on its financial market opening-up plans since the 19th National Congress of the Communist Party of China last October. Wang Guojun, an insurance professor at the University of International Business and Economics in Beijing, said the new measures are well within expectations. ""The change in the foreign ownership ceiling in a joint venture life insurer from the previous 50 percent to 51 percent is very important and can help reduce internal rivalries,"" said Wang. Chen Liang, CEO of Allianz China Life, welcomed the latest round of opening-up measures. ""The central government's latest efforts will benefit the whole insurance industry. A more open and fully-competitive market will not only bring new development opportunities for Allianz and other foreign insurers, but also bring lots of benefits for Chinese customers,"" said Chen. Being the first European insurer entering the Chinese market, Allianz has been operating in the country for 19 years and has developed a full line of businesses including life insurance, property and casualty insurance and asset management. ""We believe we can play a bigger role in better serving Chinese customers, especially in the fields of pension business and health insurance sectors,"" Chen added. ""And we are looking forward to more supportive regulatory policies that encourage product innovation."" Statistics from the banking and insurance regulator showed that foreign life insurers' market share in China stood at around 5.8 percent by the end of last year. But their market share in the country's metropolitan cities such as Beijing, Shanghai and Guangzhou has been close to 20 percent. Besides, qualified foreign investors are also allowed to run insurance agencies and survey and loss adjustment businesses in China. Foreign brokers will also enjoy the same business scope like their Chinese counterparts. Shen Kaitao, chairman of Jiang Tai Insurance Brokers Co Ltd, one of the country's largest insurance brokers, said such measures will help to improve the efficiency of the whole industry with more competition in the market. ""With years of development, Chinese insurance brokers have gained rich experience in dealing with SMEs and individuals. So, the latest efforts in opening up are not likely to deal a blow to domestic players,"" said Shen."
1,"Beijing's Central Business District area will put six new buildings into use this year, as a move to further develop the CBD region into a first-class international community, local authorities said on Wednesday. Authorities from the capital's Chaoyang district said they are planning an overall upgrade project of the CBD area in an effort to strengthen public space functions, upgrade street landscapes and optimize the transportation system in the downtown CBD area. The living environment will also be improved in the area, including the addition of a park of 2.3 hectares, and 5G technology will be put into commercial use in the CBD area soon according to the CBD's management committee."
1,"Two Fuxing high-speed bullet trains between Beijing and Changsha have been roped in to deliver packages from Nov 11 to 20 to cope with the logistics demand created after the Nov 11 shopping festival. According to Beijing Railway Bureau, each train has set aside a carriage for goods, mainly documents, garments, food, electronic devices, and others. This is the first time that high-speed trains are being used to cope with the delivery rush after the online shopping extravaganza. The delivery capacity is about 50,000 ton and delivery time will be cut down to six hours, which is faster than road transportation which usually takes 20 to 24 hours."
0,"BEIJING -Heavy rain in Beijing on Saturday forced authorities to close 171 tourist sites and disrupted at least 278 flights.  Thirteen roads had been flooded in Beijing when rainfall peaked on Saturday morning, according to the municipal flood control authority. Relief workers are draining the water.  At Beijing Capital International Airport, 119 flights were delayed and another 159 were canceled as of noon on Saturday.  The rain weakened in the afternoon, but the flood control authority still warned people against going out, especially near rivers or to climb mountains."
1,"SAN FRANCISCO - Despite trade disputes, the United States and China have more areas of common concern, engagement and partnership than areas of disagreement, said Gary Locke, former US ambassador to China. The disagreements on trade are significant, but the two countries are working on ""many other areas of cooperation and trust,"" Locke told Xinhua on the sidelines of the annual conference of a prominent Chinese American group, the Committee of 100 (C100), over the weekend. ""The United States and China are actually working very closely together on many, many other issues, on scientific research, on medical research, fighting global terrorism, and stopping piracy off the coast of Africa,"" he said. Their cooperation also covers the Iran nuclear issue and the Korean Peninsula nuclear issue, said Locke, who was also former governor of US state of Washington and former US Secretary of Commerce. ""Even though the United States and China have always had disagreements, we've always been able to move forward and continue the partnership and engagement in other issues, people-to-people exchange, scientific exchange, working on climate change, fighting global terrorism, even having cooperation on our militaries,"" he said. ""So we just need to focus on the areas of common interest, common goals, and try to minimize the areas of disagreement and where we do have disagreement, we need to continue to find ways to solve and reach a resolution,"" he said. Speaking of bilateral economic relationship, Locke told an audience of more than 500 leaders and experts in government, business, technology, academia, and media attending the two-day C100 conference that the two countries are increasingly economically interdependent since China's opening-up. ""Today, roughly $1.5 billion of goods and services flow between our two countries every single day,"" he said in a keynote speech on Saturday. ""China is our largest export market outside of North America, with exports to China growing at twice the rate as exports to the rest of the world, and America is China's largest export market exceeding exports to all of the EU countries combined."" ""More than 900,000 American jobs depend on producing goods and services exported to China and more than 2.6 million jobs in the US and many, many millions more in China depend on two-way trade between our two countries, so people in both countries are benefiting from this deepening economic integration,"" he added. As for the trade disputes between the two countries, Locke told Xinhua that he was glad that the two countries will have further consultations after the trade talks in Beijing. ""I don't think it was realistic to expect that in their first time meeting that they could reach an agreement. The issues are too difficult, too complex and many more meetings will be required,"" the former ambassador said. Locke said even though the United States has serious concerns about some of the trade and economic policies of China, ""I don't agree with using tariffs as a way to seek changes in other countries. We don't need to start a trade war."" ""A trade war is bad for both countries. There are no winners. Everybody loses especially the workers, consumers and companies,"" he added."
0,"Plans include support for schools, transportation and innovation  Beijing rolled out a series of plans on Monday to support the development of Xiongan New Area, aiming to help the new economic zone become the major center for the city's noncapital functions.  The planned new area in Hebei province, announced in April, is about 100 kilometers southwest of Beijing and is dubbed one of the two wings of the capital.  Beijing will support Xiongan in eight areas - working mechanisms, scientific and technological innovation, transportation, environment, industries, public services, planning and design and talent exchange - according to a strategic cooperation agreement signed by the two sides last week.  The Beijing Municipal Commission of Development and Reform detailed the agreement at a news conference on Monday.  ""We will use our advantages in different areas, such as innovation, education and medical care, to cooperate with Xiongan for meeting its most urgent needs,"" a commission official was quoted as saying by Beijing Daily.  Under the agreement, Beijing, as a center of innovation, will promote its innovative resources - such as the Zhongguancun Science Park - to transfer resources or establish branches in Xiongan.  A counterpart of the park will be set up in the new area as a base for high-end innovation and startups.  To support innovative projects, a special fund under a current Beijing-Tianjin-Hebei cooperative development fund is being studied.  For easier transportation, construction of high-speed railways between Beijing and Xiongan will be accelerated under the agreement. Also, the Beijing-Xiongan rail line, currently under construction as an upgrade from an old line, will be put into operation in 2019. A one-way trip will take only 30 minutes, shaving about an hour off the current time.  A new expressway directly linking the two will also be built.  To improve Xiongan's public services, an area in which Xiongan is weaker, Beijing will invest in a high-class kindergarten, a primary and a secondary school and a comprehensive hospital, according to the agreement.  They will be managed by first-rate educational and medical institutions chosen from Beijing. The institutions will provide training and talent to support and upgrade the existing local schools and hospitals in Xiongan, which cover Xiongxian, Rongcheng and Anxin counties.  In the areas of infrastructure, Beijing will encourage State-owned companies such as Beijing Energy Investment Holding Co and Beijing Waterworks Group to provide services. The two will also cooperate in protecting the region's environment and developing high-tech industries and up-to-date financial services.  ""These projects are just a beginning,"" the commission said, adding that along with the development of Xiongan, Beijing will carry out collaborative plans on a regular basis."
0,"Never in his wildest dreams did Li Wenyan imagine he would enjoy such a magical time to celebrate International Children's Day. Guided by visiting NBA legend Horace Grant, the 11-year-old hoops fan shot baskets through proper rings and nets for the first time in his life. Lack of facilities had previously limited Li to practicing against a wall on a shabby playground at Beijing Mingyuan School, which caters to children of migrant workers. He was among 60 students invited to the NBA Cares charity event on Monday in the capital, where they learned dribbling and shooting alongside Grant as well as playing interactive games with the former league All Star. ""It's a little bit surreal for me,"" said Li, a fourth-grader. ""With an actual NBA star this big teaching us side-by-side, I was so overexcited that I missed a lot of shots. The whole experience feels like a dream come true."" Under its community outreach program, NBA China has staged over 140 similar events in the league's biggest overseas market. Grant, a four-time NBA champion with the Chicago Bulls (1991-93) and Los Angeles Lakers (2001), said it's inspiring to ""put smiles back on kids' faces"". ""It helps them just escape from what they have back home, to have fun and just get away from that for a few hours. I am pretty sure it's priceless,"" said Grant, who came from a poor family in Sparta, Georgia.,Monday's event was the latest chapter in the NBA's special relationship with China - over three decades since the league first aired game highlights here in 1987. Since then, it has committed to growing basketball here through talent cultivation, youth development and charity as part of its overall effort to make hoops the No 1 sport in the world's most populous nation. According to league figures, 642 million Chinese watched NBA programming over the course of the 2017-2018 season. That's almost double the population of the United States. At last year's NBA Finals between the Golden State Warriors and the Cleveland Cavaliers, China Central Television managed to attract 25 million viewers per game, while the ongoing finals series between the Warriors and the Toronto Raptors this year has already stirred a new wave of passion. The NBA is now the most-followed sports league on Chinese social media, with over 190 million followers on multiple platforms. Despite lacking a Chinese star to fill the void left by the retirement of Hall of Famer Yao Ming in 2011, the league's presence in China has become even stronger - no matter how relations between the two countries change politically or economically. NBA commissioner Adam Silver said his league will always be on the same page as the Chinese Basketball Association in developing the game together. ""This is something Yao and I have discussed, where we can use basketball maybe in the way ping pong was used back in the day, that there could be something called basketball diplomacy. It is an area where our two countries have an excellent history of cooperation,"" Silver said recently, referring to the exchange of table tennis players between China and the United States in the early 1970s that led to a thaw in Sino-US relations. The exchange of talent on the basketball court has become an ever-present element of the NBA's strategy in China.,Since 2004, the league has sent over half of its franchises to play 26 preseason games here, with this year's China Games set to feature the 16-time champion Lakers against the Brooklyn Nets, on Oct 10 in Shanghai and in Shenzhen two days later. Nine Chinese players have played in or been drafted by the NBA since 1987 - the most successful being current CBA president Yao, who was an eight-time All Star with the Houston Rockets. ""I see it as an opportunity to demonstrate to people that through sports there's commonality and we can use the values of sports hopefully as a positive force to continue to bring people together,"" added Silver on the countries' basketball links. With an estimated 300 million people playing the game in China, basketball has transcended sport to become a tool of communication and inspiration, argues Hong Jianping, a researcher with Beijing Sport University. ""Sport is the common ground where two countries can put aside disputes politically and culturally to play under the same rules,"" said Hong. ""Basketball is enjoying mainstream popularity in both countries and is an ideal platform to bring people together and to reach mutual understandings beyond."" As part of the NBA's partnership with the Ministry of Education launched in 2014, a basketball curriculum, jointly developed by the two sides, was expanded to 4,000 schools and 4 million students in the 2018-19 school year. The curriculum will be expanded to 6 million students across 6,000 schools in the next school year, starting this September. The NBA is also extending a helping hand to China's men's national team, which has accepted an invitation to play in the NBA Summer League from July 5-15 in Las Vegas. The trip is designed to help Team China prepare for this fall's FIBA World Cup on home courts, and mirrors a similar move when the nation's elite hoopsters warmed up for the 2008 Beijing Olympics by playing in the 2007 Summer League. ""Sport is universal and a great way to bridge cultures,"" said NBA China CEO Derek Chang. ""We are supportive of what the CBA and the Ministry of Education are trying to accomplish in growing the game and promoting a healthy lifestyle in China."""
1,"PT Expo China, an exhibition about information and communication technology, opened at the China National Convention Center in Beijing on Sept 26. The four-day event is hosting various exhibitions, conferences and special events to show China's fast growing ICT market, attracting more than 400 organizations to the expo. Launched in 1990, the expo works to build up a dynamic platform for the ICT ecosystem, providing opportunities for communication and cooperation in ICT policies, research and development, and applications as well as investment."
1,"BEIJING - Chinese President Xi Jinping met with Djiboutian President Ismail Omar Guelleh in Beijing on Sunday. China is willing to work with Djibouti to continuously promote the bilateral strategic partnership, Xi said, stressing the joint building of the Belt and Road and the implementation of the outcomes reached at the Beijing Summit of the Forum on China-Africa Cooperation. China will continue to provide support for Djibouti's economic and social development, exchange experience on development, and encourage competitive Chinese enterprises to invest and expand businesses in Djibouti, he said. Guelleh said that the Belt and Road Initiative (BRI) is unique and will promote international development cooperation, and make significant contributions to creating an interconnected and better world. The groundless accusations by some people will not weaken Djibouti's confidence in the BRI and its trust in China, Guelleh noted. After the meeting, the two leaders attended the signing ceremony of documents on bilateral cooperation including joint building of the Belt and Road."
1,"BEIJING - Sun Lingjun, 35, is looking forward to the upcoming Summer Davos meeting in Northeast China's port city of Dalian, Liaoning province.  Representing Dalian locals at the forum, the entrepreneur will have access to nearly all conferences but the closed-door sessions, a rare opportunity for him to rub shoulders with global opinion-makers.  ""I am eager to hear new insights and incorporate them into our strategies and operations,"" he said.  Sun believes the meeting will give a push to his company, Dalian CheeringTech, which made more than 6 million yuan ($900,000) from sales and services of its primary product, the world's smallest smart camera controller, in Europe, the United States and other overseas markets last year.  Sun's enthusiasm for Summer Davos, officially the Annual Meeting of the New Champions, is echoed across the country. Over 2,000 figures from politics, business, civil society, academia and the arts will assemble in the city from June 27 to 29 to discuss topics from inclusive growth to the new industrial revolution.  Established by the World Economic Forum in 2007, the meeting is held each year in China, alternating between Dalian and Tianjin.  Summer Davos has been good for Dalian, reshaping the landscape of regional economy and strengthening the port's trade with other markets. The city has become a financial, shipping and logistics center for northeast China and beyond.  ""By hosting Summer Davos, Dalian has become an international city, a showpiece of reform and opening up and a center of economic growth,"" said Guo Xikun, an official coordinating the meeting.  Dalian registered 6.5 percent economic growth in 2016, the only city with any significant growth in the whole province. The city imported nearly 180 billion yuan of goods last year, and exported over 160 billion yuan, more than half of the province's total.  Summer Davos has brought the world to doors of many local firms.  ""We are based in Dalian but think of ourselves as a global business,"" Sun said. Around 95 percent CheeringTech business came from overseas last year and Sun is now helping other companies raise funds via websites like Indiegogo and Kickstarter.  A local manufacturer of numerical control machines, Dalian Guangyang Science & Technology Engineering has products that compete with global leaders.  ""We have mastered the core technology of an area once seen as a weak link in China's manufacturing sector and we are now expanding into the international arena,"" Guangyang's chairman Yu Dehai said.  ""Foreign firms see Summer Davos as a bellwether of China's economy and external policies,"" said Lawrence Lin, managing director of Orix Corporation's China branch.  The Tokyo-based financial multinational set up its China headquarter in Dalian in 2009 when the meeting was held there for the second time. In 2015, it increased its registered capital by $300 million, encouraged by growth prospects.  ""The decision to invest more in China has been very good for our company,"" Lin said. Orix's global revenue grew 13.1 percent in the last fiscal year and net profits rose by 5 percent.  Following Orix, other foreign investors began to set up businesses in Dalian. Temasek, a Singapore investment company, established a joint venture and spent 1 billion yuan building an IT park, which is now home to branches of IBM and Konica Minolta, among others. Woon Yun Ling, senior general manager of the park, said the company plans to spend another 200 million yuan on expansion.  During the Meeting of the New Champions two years ago, Dalian reached investment agreements worth $3.4 billion with foreign companies, including Goodyear, Maflow, Pfizer and SoftBank Group, in areas including finance, manufacturing and e-commerce. To date, 18,600 foreign-funded companies have invested more than $100 billion in Dalian.  Lin's company is considering patent cooperation with a local research institute and hopes to assist in the reorganization of state-owned enterprises.  ""The industrial potential and R&D capability of the city and broader northeastern China are attractive to overseas investors,"" he said."
0,"Wang Xiaofeng, his wife Zhang Dongqing and a group of parents established the school in 2006. The campus is located in an orchard in Changping district to ensure the children grow up in an environment that's close to nature.  The initial funding came from parents, who also offered to participate in the school's administration. The curriculum is based on the standardized, national system, but it also has a strong emphasis on traditional Chinese culture.  There are now preschool, primary and junior middle school divisions, and there are plans to open a high school division. A branch has also been established in Princeton, New Jersey.  As of September, the school had 115 teachers and more than 380 students.  : Xie Kang, a mother of two, was disappointed when she tried to find a school for her children. So in 2014, she set up AAI with a group of friends in Beijing who have academic backgrounds in pedagogy, psychology and musical education.  The school accepts children ages 4 to 6, plus those qualified to enroll in grades 1 to 3 at primary school. The children are taught in small classes, and lessons related to specific topics are often taught at appropriate venues, such as museums, galleries and factories.  : Located in a small yard in Beijing's Shunyi district, the school was launched in 2015 by an architectural designer and a group of friends.  The school has no fixed curriculum. Students are allowed to decide what they want to learn and achieve every day, encouraging them to discover, explore and summarize, in the hope of nurturing their problem-solving abilities.  AWU has four teachers and eight students, half at preschool level and half at primary."
